Model           TIME(t) ACC(t)  ERR(t)  ACC(v)  ERR(v)  Parameters
SYN2020-LUCID   0.34100 0.98772 0.21538 0.97161 0.20203 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,11),m=max
SYN2020-LUCID   0.22600 0.98947 0.20202 0.97161 0.19112 lr=0.100,b=2048,n=010,t=010,k=001,h=(03,11),m=max
SYN2020-LUCID   0.72300 0.50298 0.63844 0.99369 0.52393 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.18205 0.98350 0.43436 0.99685 0.38273 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.25500 0.98385 0.33707 0.99685 0.31115 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.17700 0.98175 0.29380 0.99685 0.26680 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.20200 0.98105 0.25435 0.99685 0.22874 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.15655 0.98175 0.21705 0.99685 0.19311 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.13400 0.98456 0.18365 0.99685 0.16619 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.16300 0.98491 0.15606 0.99685 0.15811 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.12400 0.97789 0.14630 0.94637 0.15831 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.12200 0.98070 0.13181 0.99685 0.14495 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.86441 0.49877 0.69210 0.99369 0.59490 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.26103 0.86592 0.55098 0.98423 0.48818 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.27800 0.97859 0.42655 0.99369 0.38192 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.22000 0.98947 0.35543 0.99369 0.32694 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.22500 0.98772 0.31576 0.99685 0.28904 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.21400 0.98210 0.28034 0.99685 0.26486 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.21100 0.98210 0.25557 0.99685 0.24140 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.21900 0.98034 0.23516 0.99685 0.21660 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.21000 0.98350 0.21215 0.99685 0.19654 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.23800 0.98772 0.19229 0.99685 0.17913 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=min
SYN2020-LUCID   0.88900 0.49807 0.66064 1.00000 0.61479 lr=0.100,b=1024,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.98032 0.45279 0.64868 0.99685 0.57864 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
SYN2020-LUCID   0.20500 0.60512 0.55234 0.97792 0.49354 lr=0.100,b=2048,n=010,t=010,k=002,h=(03,11),m=max
